score url caption
1.000000 https://islandora.nwhealth.edu/islandora/object/NWHrepository%3A9504/datastream/TN/view "Students working in a lab"
1.000000 https://islandora.nwhealth.edu/islandora/object/NWHrepository%3A9523/datastream/TN/view "Students working in a lab"
0.995605 https://www.jmu.edu/news/madisonscholar/wm_library/FreshmenResearchLab.jpg "Students working in a lab."
0.985352 https://science-math.wright.edu/sites/science-math.wright.edu/files/i-ees-ba-ees.jpg "photo of students working in a lab"
0.981934 http://facstaff.cbu.edu/~jholmes/Sciences/Newsletters/April08/LabPic.jpg "students working in lab"
0.981934 http://cdn.kingston.ac.uk/includes/img/cms/site-images/resized/166a8ee-kingston-university-218e5b8-studentsworkinginlab.jpg "Students working in lab"
0.981934 https://shp.rutgers.edu/wp-content/uploads/Lab_21.jpg "Students working in lab"
0.980469 https://www.kzoo.edu/news/files/2016/07/SC07430-150x150.jpg "Students and professor working in a lab"
0.980469 http://www.kzoo.edu/news/files/2016/07/SC07430-150x150.jpg "Students and professor working in a lab"
0.979004 https://dtmw9u23bb9ya.cloudfront.net/uploads/image/file/5115/U80_students_in_lab.jpg "Students working in the lab"
0.979004 http://spidersinohio.net/wp-content/uploads/2016/01/DSCN5390-750x563.jpg "students working in the lab"
0.979004 https://cte.ku.edu/sites/cte.drupal.ku.edu/files/docs/portfolios/hirmas/index.jpg "Students working in the lab"
0.979004 https://rutgers.myuvn.com/wp-content/uploads/sites/40/2017/11/StudentsIntheLab.jpg "Students working in the lab"
0.979004 https://usm.maine.edu/sites/default/files/styles/info_block/public/graduate/research.jpg?itok=JO7pqX7h "Students working in the lab"
0.979004 https://cdn.dal.ca/faculty/engineering/_jcr_content/contentPar/containertwocolumn_0/twoColumnCol2/calltoaction_1421435651/image.adaptive.277.high.jpg/1548346630594.jpg "Students working in the lab"
0.979004 http://www.trinityparentcouncil.org.uk/wp-content/uploads/2017/06/Picture5.jpg "Students working in a science laboratory"
0.978516 https://md.utoronto.ca/sites/default/files/admissions%20blog%20header.jpg "Students in a lab"
0.978516 https://www.research.gov/common/images/PublicAffairs/img_22629_wind%20tunnel2--rgov-800width.jpg "students in a lab"
0.978516 https://live-asu-news.ws.asu.edu/sites/default/files/styles/panopoly_image_full/public/barrett_2.jpg?itok=Tca2Cn2X "Students in a lab"
0.978516 https://www.cranfield.ac.uk/~/media/images-for-new-website/research/general-lab-teaser.ashx?bc=white&iar=true&w=400&h=400&la=en&hash=C5DD14E6548CCB7CE6CE16F042F1016D9341CE41 "Students in a lab"
0.978516 https://alumni.uoguelph.ca/sites/default/files/styles/portfolio/public/Human%20Anatomy%20program.jpg?itok=R_WOea6Q "Students in lab working"
0.978516 https://cdn.uwec.edu/athena/images/6027/20141017-Ed-Studies-00332--FeaturedImageL--featuredM_1_1_-small.jpg "Students in a  lab"
0.978516 http://fresnostate.edu/csm/images/carousel/carousel02.jpg "Students in a lab"
0.976562 https://bioe.uw.edu/wp-content/uploads/research-lab-students-600x272.jpg "Students working in a research lab"
0.976562 https://bioe.uw.edu/wp-content/uploads/research-lab-students.jpg "Students working in a research lab"
0.975586 https://www.scotiaglenvilleschools.org/wp-content/uploads/2019/03/20190318_081105POST3.jpg "Students working on a lab"
0.973633 https://bioe.uw.edu/wp-content/uploads/masters.jpg "Students working together in a lab"
0.971680 https://www.unlv.edu/sites/default/files/paragraphs/cards/Research-D68665_03.jpg "Students working at a research lab"
0.971191 https://static2.bigstockphoto.com/thumbs/5/2/5/large2/5256086.jpg "Science Students Working In A Laboratory"
0.969727 http://www.aau.edu.et/wp-content/uploads/2017/03/2-150x150.jpg "Students working in Laboratory"
0.969238 https://news.psu.edu/sites/default/files/styles/embedded_media_news/public/DSC_0738-%202.jpg "Students and faculty work in lab"
0.969238 https://t2.ftcdn.net/jpg/00/63/60/73/400_F_63607304_XKGHCgcsMgbydEa6AnDJ6ee0lTQiONEl.jpg "Students working in the Lab Experiment"
0.966309 https://images.squarespace-cdn.com/content/52002e8fe4b00bacedd0578e/1398210029701-DDFMVOMN6XR3LEHK8JS4/?format=1000w&content-type=image%2Fpng "Students working in the Science Lab"
0.965332 https://www.mtu.edu/chemistry/department/welcome/images/research-equipment-800banner.jpg "Students work in a lab."
