url , width , height , quality

https://static.wixstatic.com/media/57da51_466dae27347a4087ad3d429e3b3c98f9~mv2.jpg ,1628,899, good
https://nelha.hawaii.gov/wp-content/uploads/2013/05/NEHLA-set-up-1024x683.jpg ,1024,683, good
https://4.bp.blogspot.com/-qs-HbTZ5wmA/WV19nlRFIVI/AAAAAAAAFq0/tYuqAE795FkaNYuZ3tQmTn4R4vViYbVzQCLcBGAs/s1600/Young%2Bman%2Bin%2Bhigh%2Bschool%2Bcomputer%2Blab.jpg ,1600,1066, good
https://www.utoronto.ca/sites/default/files/2018-01-25-laboratories-resized.jpg ,1140,760, good
https://images.squarespace-cdn.com/content/50ce11c4e4b0c301a8235997/1422844963590-W5EDSSN69I5UGGMPU9S0/physics+lab-1.jpg?format=1000w&content-type=image%2Fjpeg ,1000,667, good
https://i0.wp.com/www.mines.edu/wp-content/uploads/2017/08/Jeff-Squier-Laser-Lab-2017-e1502897996549.jpg?fit=1024%2C682& ,1024,682, good
https://images.squarespace-cdn.com/content/58c140216b8f5b630c91e446/1534241970939-IE410CAE9DKL7LPEO6TT/image9.jpeg?format=1000w&content-type=image%2Fjpeg ,1000,691, good
http://static7.depositphotos.com/1194063/680/i/950/depositphotos_6809529-Laboratory.jpg ,1023,682, good
https://onenet.net/wp-content/uploads/2015/04/occc0227-1024x681.jpg ,1024,681, good
https://cdn.uwec.edu/athena/images/9559/20180406_Polymers_Research_0008-homepage.jpg ,1920,824, good

https://umanitoba.ca/environment-earth-resources/sites/environment-earth-resources/files/styles/3x2_900w/public/2020-12/faculty-of-environment-student-experience.jpg?itok=nMudpjFd ,900,600, good
https://www.tamuc.edu/wp-content/uploads/2019/07/14575-Biology-Faculty-8428-1024x1024.jpg ,1024,1024, good
https://cds.cern.ch/images/CERN-HOMEWEB-PHO-2020-113-1/file?size=large ,1440,1080, good
https://bucsblade.com/wp-content/uploads/2019/11/IMG_0257.jpg ,1501,1001, good













https://static1.bigstockphoto.com/thumbs/1/5/8/large2/85191173.jpg ,450,320, bad
https://inspirationlaboratories.com/wp-content/uploads/2017/04/science-lab0.jpg ,0,0, bad
https://st2.depositphotos.com/1027213/9512/v/600/depositphotos_95127348-stock-video-researcher-working-in-lab-with.jpg ,608,342, bad
https://sparktx.com/wp-content/uploads/Two-research-scientists-lab-Spark-Therapeutics.jpg ,320,320, bad
https://t1.ftcdn.net/jpg/00/53/80/06/110_F_53800609_vc34FKCurslOE4vSEdrLxSw42SDQrqvd.jpg ,110,97, bad
http://images.crestock.com/580000-589999/580094-2xs.jpg ,160,113, bad
