image_id,url,category,lab type,unsafe,details,gpt reason,certainty
image0001.jpg,https://i0.wp.com/post.healthline.com/wp-content/uploads/2020/02/Female_Lab_Research_1296x728-header.jpg?w=1155&h=1528,PPE,Biology,0.0,,"A biologist is peering through a microscope in a biology lab setting. The scene appears safe: no specialized splash hazards requiring goggles are present, and both hands (one visibly gloved and the other hidden) are appropriately protected.",
image0002.jpg,https://www.iths.org/wp-content/uploads/happy-scientist-713x373.jpg,PPE,Biology,0.0,,"A biologist is working in a biology lab wearing a lab coat and safety glasses, with a clean, organized bench behind her. The scene is safe, with appropriate PPE and no visible procedural or organizational lapses.",
image0003.jpg,https://us.123rf.com/450wm/michaeljung/michaeljung1307/michaeljung130700711/21122988-cheerful-senior-chemist-working-in-lab.jpg,PPE,Chemistry,0.0,,"A chemist in a chemistry lab is inspecting a green solution in an Erlenmeyer flask while wearing proper PPE (lab coat, gloves, hair net, and safety goggles). The workspace appears well organized and all standard procedures seem followed, indicating a safe environment. There are no visible safety issues.",
image0004.jpg,https://seamanmedical.com/wp-content/uploads/2016/04/about-us-1024x1024.jpg,PPE,Biology,0.0,,"A chemist in a well-equipped laboratory is inspecting a test tube of sample, wearing standard PPE (lab coat, nitrile gloves, safety goggles). The scene is organized and follows proper SOPs for handling liquid reagents in open bench work, with no apparent safety issues.",
image0005.jpg,https://farm5.staticflickr.com/4148/5094288599_097868a2eb_z.jpg,PPE,Chemistry,0.0,,"A group of researchers is assembled in a chemistry cleanroom gowning area, with everyone wearing appropriate PPE such as lab coats, safety goggles, and one person in full cleanroom gear. The lab setup and personnel attire indicate adherence to safety protocols, and there are no visible safety violations.",0.0
image0006.jpg,https://us.123rf.com/450wm/wavebreakmediamicro/wavebreakmediamicro1402/wavebreakmediamicro140210412/25748769-side-view-of-a-group-of-scientists-working-in-the-laboratory.jpg,PPE,Biology,0.0,,"A group of scientists in a chemistry lab are donning lab coats, safety goggles, and nitrile gloves while handling and mixing solutions. The workspace is organized, and they are following standard procedures with appropriate PPE, resulting in an overall safe laboratory environment.",
image0010.jpg,https://m.blog.hu/at/ataszjelenti/image/doctor-holding-test-tube-in-medical-lab.jpg,PPE,Biology,0.0,,A researcher in a biology lab is pipetting a sample into a small test tube while wearing gloves and a lab coat. The scene is safe as he wears the necessary PPE.,
image0011.jpg,https://www.queensu.ca/gazette/sites/default/files/assets/alumnireview/articles/Alex-V-880x587.jpg,PPE,Chemistry,0.0,,"A researcher in a chemistry lab holds up a sample solution. He wars gloves and goggles, which is sufficient PPE.",
image0012.jpg,https://us.123rf.com/450wm/endomedion/endomedion1410/endomedion141000011/32518350-technician-in-protective-uniform-working-in-lab.jpg,PPE,Chemistry,0.0,,"A technician in full protective coveralls, goggles, respirator mask, and chemical-resistant gloves is handling a green solution in an Erlenmeyer flask beside a clear liquid in a volumetric flask, with a laptop nearby. The scene takes place in a chemistry lab, and all required PPE is correctly worn. ",
image0013.jpg,https://static1.bigstockphoto.com/thumbs/5/2/6/large2/62512976.jpg,PPE,Biology,0.0,,"In this biology lab, two researches analyze a sample in a petri dish. The scene is safe as both are wearing proper PPE (gloves, goggles, lab coats).",
image0014.jpg,https://us.123rf.com/450wm/elnur/elnur1801/elnur180100793/93118164-chemist-working-in-the-laboratory-with-hazardous-chemicals.jpg?ver=6,PPE,Biology,0.0,,"The image depicts a biology lab where a researcher is examining a petri dish containing microbial growth. The lab appears safe, with the individual wearing full PPE including gloves, a protective suit, and a respirator. No unsafe practices or workspace issues are visible in this scene.",
image0015.jpg,https://thumbs.dreamstime.com/t/laboratory-research-scientific-woman-health-care-31414401.jpg,PPE,Chemistry,0.0,,"The image depicts a Chemistry lab scene where a person is carefully examining a red liquid in a round-bottom flask. The lab appears safe, as the individual is wearing gloves, goggles, and a lab coat while handling the chemical. No safety violations are visible.",
image0016.jpg,https://img.freepik.com/premium-photo/male-scientist-analyzing-pills-laboratory_13339-234561.jpg,PPE,Biology,0.0,,"The image shows a biologist or pharmaceutical researcher examining pills in a biology lab. The lab appears safe, with the individual properly wearing gloves, safety goggles, and a lab coat. No immediate safety concerns are visible, and the workspace and procedure seem appropriate for the task being performed.",
image0017.jpg,https://st4.depositphotos.com/1000975/19644/i/950/depositphotos_196446534-stock-photo-male-biochemist-working-in-the.jpg,PPE,Biology,0.0,,"The image shows a biologist wearing appropriate PPE (lab coat, gloves, safety goggles, and mask) carefully applying a reagent to a young plant in a test tube, with a microscope nearby. The workspace is clean and organized, and all procedures appear in compliance with standard biosafety protocols, indicating no safety issues.",
image0018.jpg,"https://images.prismic.io/npf-website/2d7153fd-1e6d-40a9-85c4-1f4b2ed98eb2_iStock-1090783516.jpg?auto=compress,format&rect=490,0,3120,2160&w=650&h=450",PPE,Biology,0.0,,"The image shows a biology lab scene where a researcher is examining a white container. The individual is wearing safety goggles and gloves, and the lab bench is well-organized. No unsafe conditions are apparent, making the environment appear compliant with general lab safety protocols.",
image0020.jpg,https://st4.depositphotos.com/1000975/19816/i/950/depositphotos_198167038-stock-photo-male-biochemist-working-in-the.jpg,PPE,Biology,0.0,,"The image shows a biology lab where a researcher is handling a plant sample with tweezers and placing it in a test tube. The lab scene appears safe, with proper PPE (gloves, goggles, lab coat) and good workspace organization. No unsafe activities or conditions are visible in this setup.",
image0021.jpg,https://static1.bigstockphoto.com/2/1/4/large2/41234539.jpg,PPE,Biology,0.0,,"The image shows a biology lab where a researcher, wearing a lab coat and gloves, is handling a tablet near a microscope and test tubes. The safety setup appears appropriate, with correct PPE and a well-organized workspace, and no violations of standard operating procedures are evident.",0.0
